pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_16442_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.614561,0.086054,0.070760
_16442_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.512518,0.603888,0.140316
_16442_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.657017,0.275142,0.180803
_16442_/Y,sky130_fd_sc_hd__o21ai_0,output,0,4,2.512518,0.358890,0.100917
_16443_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.231938,1.117665,0.241817
_16443_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.230921,0.448518,0.152317
_16443_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.512518,0.358890,0.100917
_16443_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.230921,0.386636,0.147787
_16444_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.612279,0.172761,0.091305
_16444_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.648697,0.148099,0.086172
_16444_/Y,sky130_fd_sc_hd__xnor2_1,output,0,9,2.612279,0.583420,0.106551
_16445_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.558576,0.086665,0.070784
_16445_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.934736,0.583420,0.106551
_16445_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.684283,1.117665,0.241817
_16445_/Y,sky130_fd_sc_hd__o21ai_0,output,0,6,2.934736,0.439615,0.205175
_16446_/A1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.994665,0.086665,0.070784
_16446_/A2,sky130_fd_sc_hd__a21oi_1,input,0,0,2.612279,0.583420,0.106551
_16446_/B1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.934736,0.439615,0.205175
_16446_/Y,sky130_fd_sc_hd__a21oi_1,output,0,4,2.612279,0.335729,0.095511
_16447_/A1,sky130_fd_sc_hd__a21o_1,input,0,0,1.976092,0.148099,0.086172
_16447_/A2,sky130_fd_sc_hd__a21o_1,input,0,0,3.330146,0.295857,0.106224
_16447_/B1,sky130_fd_sc_hd__a21o_1,input,0,0,2.612279,0.335729,0.095511
_16447_/X,sky130_fd_sc_hd__a21o_1,output,0,2,1.976092,0.089574,0.073886
_16448_/A,sky130_fd_sc_hd__nor2_1,input,0,0,3.487454,1.207927,0.285437
_16448_/B,sky130_fd_sc_hd__nor2_1,input,0,0,2.674584,0.269947,0.121557
_16448_/Y,sky130_fd_sc_hd__nor2_1,output,0,6,2.674584,0.212354,0.146029
_16449_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.236610,0.421384,0.099761
_16449_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.362192,0.391818,0.100617
_16449_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.674584,0.212354,0.146029
_16449_/Y,sky130_fd_sc_hd__o21ai_0,output,0,4,2.236610,0.358931,0.095100
_16450_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.231938,1.117665,0.241817
_16450_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.282236,0.448518,0.152317
_16450_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.236610,0.358931,0.095100
_16450_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.236610,0.386636,0.147787
_16451_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.613260,0.173514,0.091457
_16451_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.648697,0.148099,0.086172
_16451_/Y,sky130_fd_sc_hd__xnor2_1,output,0,9,2.613260,0.583425,0.106551
_16452_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.713192,0.086660,0.070779
_16452_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.935716,0.583425,0.106551
_16452_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.684283,1.117665,0.241817
_16452_/Y,sky130_fd_sc_hd__o21ai_0,output,0,6,2.935716,0.439615,0.205175
_16453_/A1,sky130_fd_sc_hd__a21oi_1,input,0,0,3.149281,0.086660,0.070779
_16453_/A2,sky130_fd_sc_hd__a21oi_1,input,0,0,2.613260,0.583425,0.106551
_16453_/B1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.935716,0.439615,0.205175
_16453_/Y,sky130_fd_sc_hd__a21oi_1,output,0,4,2.613260,0.335729,0.095512
_16454_/A1,sky130_fd_sc_hd__a21o_1,input,0,0,1.976092,0.148099,0.086172
_16454_/A2,sky130_fd_sc_hd__a21o_1,input,0,0,3.330146,0.295857,0.106224
_16454_/B1,sky130_fd_sc_hd__a21o_1,input,0,0,2.613260,0.335729,0.095512
_16454_/X,sky130_fd_sc_hd__a21o_1,output,0,2,1.976092,0.089574,0.073886
_16456_/A1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.845704,0.086054,0.070760
_16456_/A2,sky130_fd_sc_hd__a21oi_1,input,0,0,2.452686,0.270275,0.247763
_16456_/B1,sky130_fd_sc_hd__a21oi_1,input,0,0,3.545279,1.207927,0.285437
_16456_/Y,sky130_fd_sc_hd__a21oi_1,output,0,6,2.452686,0.274863,0.180803
_16457_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.662213,0.086054,0.070760
_16457_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.242673,0.270275,0.247763
_16457_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.452686,0.274863,0.180803
_16457_/Y,sky130_fd_sc_hd__o21ai_0,output,0,4,2.242673,0.359300,0.091890
_16458_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.231938,1.117665,0.241817
_16458_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.001463,0.448518,0.152317
_16458_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.242673,0.359300,0.091890
_16458_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.001463,0.386636,0.147787
_16459_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.561685,0.154797,0.087477
_16459_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.520785,0.126430,0.081421
_16459_/Y,sky130_fd_sc_hd__xnor2_1,output,0,8,2.520785,0.623598,0.115515
_16460_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.677065,0.088120,0.071503
_16460_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.520785,0.623598,0.115515
_16460_/Y,sky130_fd_sc_hd__xnor2_1,output,0,6,2.520785,0.431690,0.095709
_16461_/A,sky130_fd_sc_hd__nand2_1,input,0,0,3.106407,1.117665,0.241817
_16461_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.520785,0.431690,0.095709
_16461_/Y,sky130_fd_sc_hd__nand2_1,output,0,4,2.520785,0.107441,0.173423
_16462_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.231937,1.117665,0.241817
_16462_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.218412,0.400701,0.143160
_16462_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.520785,0.107441,0.173423
_16462_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.218412,0.386636,0.147787
_16463_/A,sky130_fd_sc_hd__xor2_1,input,0,0,2.542387,0.155788,0.087465
_16463_/B,sky130_fd_sc_hd__xor2_1,input,0,0,2.496562,0.120939,0.079830
_16463_/X,sky130_fd_sc_hd__xor2_1,output,0,9,2.496562,0.474291,0.106284
_16464_/A1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.571666,0.474291,0.106284
_16464_/A2,sky130_fd_sc_hd__a21oi_1,input,0,0,2.671272,0.656635,0.161493
_16464_/B1,sky130_fd_sc_hd__a21oi_1,input,0,0,3.358990,0.717001,0.174577
_16464_/Y,sky130_fd_sc_hd__a21oi_1,output,0,6,2.571666,0.275087,0.117010
_16465_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.496562,0.474291,0.106284
_16465_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.517476,0.656635,0.161493
_16465_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.571666,0.275087,0.117010
_16465_/Y,sky130_fd_sc_hd__o21ai_0,output,0,4,2.496562,0.358965,0.104968
_16466_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.231939,1.117665,0.241817
_16466_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.325457,0.624670,0.228820
_16466_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.496562,0.358965,0.104968
_16466_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.325457,0.386636,0.147787
_16467_/A,sky130_fd_sc_hd__xor2_1,input,0,0,2.584110,0.174188,0.091474
_16467_/B,sky130_fd_sc_hd__xor2_1,input,0,0,2.593556,0.126418,0.081128
_16467_/X,sky130_fd_sc_hd__xor2_1,output,0,8,2.584110,0.500975,0.110422
_16468_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.619395,0.627323,0.130623
_16468_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.584110,0.500975,0.110422
_16468_/Y,sky130_fd_sc_hd__xnor2_1,output,0,6,2.584110,0.432212,0.098454
_16469_/A,sky130_fd_sc_hd__nand2_1,input,0,0,3.107922,1.117665,0.241817
_16469_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.584110,0.432212,0.098454
_16469_/Y,sky130_fd_sc_hd__nand2_1,output,0,4,2.584110,0.107455,0.173423
_16470_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.231937,1.117665,0.241817
_16470_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.315245,0.448518,0.152317
_16470_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.584110,0.107455,0.173423
_16470_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.315245,0.386636,0.147787
_16471_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.599014,0.090214,0.071524
_16471_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.549433,0.574602,0.140571
_16471_/Y,sky130_fd_sc_hd__xnor2_1,output,0,6,2.549433,0.431690,0.092075
_16472_/A,sky130_fd_sc_hd__nand2_1,input,0,0,3.102729,1.117665,0.241817
_16472_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.549433,0.431690,0.092075
_16472_/Y,sky130_fd_sc_hd__nand2_1,output,0,4,2.549433,0.107424,0.173423
_16473_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.231937,1.117665,0.241817
_16473_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.362738,0.624682,0.228820
_16473_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.549433,0.107424,0.173423
_16473_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.362738,0.386636,0.147787
_16474_/A,sky130_fd_sc_hd__and2_1,input,0,0,2.729680,0.146959,0.085470
_16474_/B,sky130_fd_sc_hd__and2_1,input,0,0,2.785990,0.119881,0.079406
_16474_/X,sky130_fd_sc_hd__and2_1,output,0,9,2.729680,0.167925,0.097799
_16475_/A,sky130_fd_sc_hd__or3_1,input,0,0,2.729680,0.167925,0.097799
_16475_/B,sky130_fd_sc_hd__or3_1,input,0,0,2.974336,0.079739,0.068906
_16475_/C,sky130_fd_sc_hd__or3_1,input,0,0,3.328385,0.534212,0.111868
_16475_/X,sky130_fd_sc_hd__or3_1,output,0,4,2.729680,0.110615,0.214694
_16476_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.300098,0.167925,0.097799
_16476_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.906817,0.079739,0.068906
_16476_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.489260,0.534212,0.111868
_16476_/Y,sky130_fd_sc_hd__o21ai_0,output,0,4,2.489260,0.438223,0.135158
_16477_/A1,sky130_fd_sc_hd__a32o_1,input,0,0,3.664635,1.117665,0.241817
_16477_/A2,sky130_fd_sc_hd__a32o_1,input,0,0,2.729680,0.110615,0.214694
_16477_/A3,sky130_fd_sc_hd__a32o_1,input,0,0,2.489260,0.438223,0.135158
_16477_/B1,sky130_fd_sc_hd__a32o_1,input,0,0,3.579112,0.295857,0.106224
_16477_/B2,sky130_fd_sc_hd__a32o_1,input,0,0,2.040468,0.119881,0.079406
_16477_/X,sky130_fd_sc_hd__a32o_1,output,0,2,2.040468,0.141076,0.099243
_16478_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.594053,0.090214,0.071524
_16478_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.872472,0.089827,0.072146
_16478_/Y,sky130_fd_sc_hd__xnor2_1,output,0,6,2.594053,0.431690,0.083792
_16479_/A,sky130_fd_sc_hd__nand2_1,input,0,0,3.102729,1.117665,0.241817
_16479_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.594053,0.431690,0.083792
_16479_/Y,sky130_fd_sc_hd__nand2_1,output,0,4,2.594053,0.107384,0.173423
_16480_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.136535,0.763961,0.183730
_16480_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.370685,0.624682,0.228820
_16480_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.594053,0.107384,0.173423
_16480_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.370685,0.386288,0.124217
_16481_/A,sky130_fd_sc_hd__xor2_1,input,0,0,2.583389,0.174049,0.091360
_16481_/B,sky130_fd_sc_hd__xor2_1,input,0,0,2.593016,0.126418,0.081128
_16481_/X,sky130_fd_sc_hd__xor2_1,output,0,8,2.583389,0.500977,0.110421
_16482_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.614400,0.627249,0.130621
_16482_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.583389,0.500977,0.110421
_16482_/Y,sky130_fd_sc_hd__xnor2_1,output,0,6,2.583389,0.432212,0.098449
_16483_/A,sky130_fd_sc_hd__nand2_1,input,0,0,3.011477,0.763961,0.183730
