pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_133_/B1,sky130_fd_sc_hd__o311ai_2,input,0,0,3.804588,0.266027,0.151586
_133_/C1,sky130_fd_sc_hd__o311ai_2,input,0,0,3.436585,0.284655,0.159007
_133_/Y,sky130_fd_sc_hd__o311ai_2,output,0,140,3.436585,0.861441,0.185401
_134_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,3.256769,0.112667,0.077931
_134_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.438868,0.286677,0.291254
_134_/Y,sky130_fd_sc_hd__nor2b_1,output,0,132,3.256769,0.576043,0.111553
_135_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,2.855187,0.278391,0.284475
_135_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.322344,0.228038,0.263644
_135_/Y,sky130_fd_sc_hd__nor2b_1,output,0,132,2.855187,0.580565,0.111531
_136_/A1,sky130_fd_sc_hd__a311oi_2,input,0,0,4.058111,0.829345,0.144049
_136_/A2,sky130_fd_sc_hd__a311oi_2,input,0,0,4.336429,0.326052,0.176928
_136_/A3,sky130_fd_sc_hd__a311oi_2,input,0,0,4.341270,0.861441,0.185401
_136_/B1,sky130_fd_sc_hd__a311oi_2,input,0,0,4.423295,0.576043,0.111553
_136_/C1,sky130_fd_sc_hd__a311oi_2,input,0,0,4.001666,0.580565,0.111531
_136_/Y,sky130_fd_sc_hd__a311oi_2,output,0,124,4.001666,0.805997,0.205654
_137_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.268698,0.379069,0.329682
_137_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,2.887922,0.375779,0.328312
_137_/Y,sky130_fd_sc_hd__nand2b_1,output,0,116,2.887922,0.266874,0.151637
_138_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.034574,0.287530,0.288613
_138_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,2.585758,0.225997,0.262994
